HCM,PCVT,Nợ,Có,CHÊNH LỆCH
1363111,3363111,-926272738075.0,446418087938.0,-1372690826013.0
1363112,3363112,-4510359049.0,-3795352626.0,-715006423.0
136312,336312,0.0,0.0,0.0
136313,336313,0.0,0.0,0.0
136314,336314,6490998952.0,8891367286.0,-2400368334.0
136315,336315,0.0,0.0,0.0
136318,336318,0.0,0.0,0.0
136321,336321,0.0,0.0,0.0
136322,336322,0.0,0.0,0.0
136323,336323,0.0,0.0,0.0
136331,336331,-332768778610.0,-345308872699.0,12540094089.0
136332,336332,0.0,0.0,0.0
136341,336341,-521378943012.0,-521378943012.0,0.0
136342,336342,0.0,0.0,0.0
136351,336351,-16506012261.0,-18253509928.0,1747497667.0
136352,336352,15555384491.0,0.0,15555384491.0
136358,336358,1615521348756.0,345802925881.0,1269718422875.0
1363611,3363611,1937832476.0,-180702121.0,2118534597.0
1363612,3363612,0.0,0.0,0.0
1363613,3363613,6402157202.0,6399790387.0,2366815.0
1363614,3363614,0.0,0.0,0.0
1363721,3363721,0.0,0.0,0.0
1363728,3363728,0.0,0.0,0.0
13638111,33638111,0.0,0.0,0.0
13638118,33638118,0.0,0.0,0.0
13638161,33638161,0.0,0.0,0.0
1363818,3363818,0.0,0.0,0.0
1363821,3363821,0.0,0.0,0.0
13638221,33638221,230121799.0,230121799.0,0.0
13638222,33638222,0.0,0.0,0.0
13638223,33638223,0.0,0.0,0.0
1363823,3363823,0.0,0.0,0.0
1363825,3363825,0.0,0.0,0.0
1363827,3363827,0.0,0.0,0.0
1363828,3363828,0.0,0.0,0.0
1363829,3363829,0.0,0.0,0.0
1363841,3363841,0.0,0.0,0.0
1363842,3363842,0.0,0.0,0.0
1363843,3363843,346171226.0,346171226.0,0.0
1363844,3363844,0.0,0.0,0.0
1363845,3363845,0.0,0.0,0.0
1363847,3363847,100809981.0,100809981.0,0.0
1363848,3363848,-2835508929.0,-2835508929.0,0.0
1363883,3363883,35669605405.0,35669605405.0,0.0
1363888,3363888,-9821257247.0,0.0,-9821257247.0
136391,336391,-375462829.0,-2522257803.0,2146794974.0
136392,336392,0.0,0.0,0.0
136393,336393,0.0,0.0,0.0
13688,33688,0.0,-9821257247.0,9821257247.0
33688,13688,0.0,0.0,0.0
3363888,1363888,-165542400.0,-165542400.0,0.0
13681,33681,8133430908.0,8767045071.0,-633614163.0
